Date,CO2
1959-01-31,315.58
1959-02-28,316.39
1959-03-31,316.79
1959-04-30,317.82
1959-05-31,318.39
1959-06-30,318.22
1959-07-31,316.68
1959-08-31,315.01
1959-09-30,314.02
1959-10-31,313.55
1959-11-30,315.02
1959-12-31,315.75
1960-01-31,316.52
1960-02-29,317.1
1960-03-31,317.79
1960-04-30,319.22
1960-05-31,320.08
1960-06-30,319.7
1960-07-31,318.27
1960-08-31,315.99
1960-09-30,314.24
1960-10-31,314.05
1960-11-30,315.05
1960-12-31,316.23
1961-01-31,316.92
1961-02-28,317.76
1961-03-31,318.54
1961-04-30,319.49
1961-05-31,320.64
1961-06-30,319.85
1961-07-31,318.7
1961-08-31,316.96
1961-09-30,315.17
1961-10-31,315.47
1961-11-30,316.19
1961-12-31,317.17
1962-01-31,318.12
1962-02-28,318.72
1962-03-31,319.79
1962-04-30,320.68
1962-05-31,321.28
1962-06-30,320.89
1962-07-31,319.79
1962-08-31,317.56
1962-09-30,316.46
1962-10-31,315.59
1962-11-30,316.85
1962-12-31,317.87
1963-01-31,318.87
1963-02-28,319.25
1963-03-31,320.13
1963-04-30,321.49
1963-05-31,322.34
1963-06-30,321.62
1963-07-31,319.85
1963-08-31,317.87
1963-09-30,316.36
1963-10-31,316.24
1963-11-30,317.13
1963-12-31,318.46
1964-01-31,319.57
1964-02-29,320.23
1964-03-31,320.89
1964-04-30,321.54
1964-05-31,322.2
1964-06-30,321.9
1964-07-31,320.42
1964-08-31,318.6
1964-09-30,316.73
1964-10-31,317.15
1964-11-30,317.94
1964-12-31,318.91
1965-01-31,319.73
1965-02-28,320.78
1965-03-31,321.23
1965-04-30,322.49
1965-05-31,322.59
1965-06-30,322.35
1965-07-31,321.61
1965-08-31,319.24
1965-09-30,318.23
1965-10-31,317.76
1965-11-30,319.36
1965-12-31,319.5
1966-01-31,320.35
1966-02-28,321.4
1966-03-31,322.22
1966-04-30,323.45
1966-05-31,323.8
1966-06-30,323.5
1966-07-31,322.16
1966-08-31,320.09
1966-09-30,318.26
1966-10-31,317.66
1966-11-30,319.47
1966-12-31,320.7
1967-01-31,322.06
1967-02-28,322.23
1967-03-31,322.78
1967-04-30,324.1
1967-05-31,324.63
1967-06-30,323.79
1967-07-31,322.34
1967-08-31,320.73
1967-09-30,319.0
1967-10-31,318.99
1967-11-30,320.41
1967-12-31,321.68
1968-01-31,322.3
1968-02-29,322.89
1968-03-31,323.59
1968-04-30,324.65
1968-05-31,325.3
1968-06-30,325.15
1968-07-31,323.88
1968-08-31,321.8
1968-09-30,319.99
1968-10-31,319.86
1968-11-30,320.88
1968-12-31,322.36
1969-01-31,323.59
1969-02-28,324.23
1969-03-31,325.34
1969-04-30,326.33
1969-05-31,327.03
1969-06-30,326.24
1969-07-31,325.39
1969-08-31,323.16
1969-09-30,321.87
1969-10-31,321.31
1969-11-30,322.34
1969-12-31,323.74
1970-01-31,324.61
1970-02-28,325.58
1970-03-31,326.55
1970-04-30,327.81
1970-05-31,327.82
1970-06-30,327.53
1970-07-31,326.29
1970-08-31,324.66
1970-09-30,323.12
1970-10-31,323.09
1970-11-30,324.01
1970-12-31,325.1
1971-01-31,326.12
1971-02-28,326.62
1971-03-31,327.16
1971-04-30,327.94
1971-05-31,329.15
1971-06-30,328.79
1971-07-31,327.53
1971-08-31,325.65
1971-09-30,323.6
1971-10-31,323.78
1971-11-30,325.13
1971-12-31,326.26
1972-01-31,326.93
1972-02-29,327.84
1972-03-31,327.96
1972-04-30,329.93
1972-05-31,330.25
1972-06-30,329.24
1972-07-31,328.13
1972-08-31,326.42
1972-09-30,324.97
1972-10-31,325.29
1972-11-30,326.56
1972-12-31,327.73
1973-01-31,328.73
1973-02-28,329.7
1973-03-31,330.46
1973-04-30,331.7
1973-05-31,332.66
1973-06-30,332.22
1973-07-31,331.02
1973-08-31,329.39
1973-09-30,327.58
1973-10-31,327.27
1973-11-30,328.3
1973-12-31,328.81
1974-01-31,329.44
1974-02-28,330.89
1974-03-31,331.62
1974-04-30,332.85
1974-05-31,333.29
1974-06-30,332.44
